states,x,y
Andhra Pradesh,-64.0,-188.0
Arunachal Pradesh,224.0,74.0
Assam,181.0,31.0
Bihar,53.0,19.0
Chhattisgarh,-15.0,-65.0
Goa,-160.0,-189.0
Gujarat,-209.0,-30.0
Haryana,-116.0,93.0
Himachal Pradesh,-98.0,149.0
Jammu and Kashmir,-151.0,189.0
Jharkhand,46.0,-24.0
Karnataka,-129.0,-222.0
Kerala,-119.0,-283.0
Madhya Pradesh,-91.0,-27.0
Maharashtra,-137.0,-110.0
Manipur,206.0,-5.0
Meghalaya,157.0,11.0
Mizoram,186.0,-29.0
Nagaland,219.0,24.0
Odisha,21.0,-91.0
Punjab,-156.0,111.0
Rajasthan,-168.0,43.0
Sikkim,107.0,53.0
Tamil Nadu,-85.0,-247.0
Telangana,-71.0,-147.0
Tripura,164.0,-21.0
Uttarakhand,-65.0,110.0
Uttar Pradesh,-47.0,50.0
West Bengal,89.0,-42.0
Andaman and Nicobar Islands,236.0,-227.0
Chandigarh,-136.0,145.0
Dadra and Nagar Haveli,-212.0,-78.0
Daman and Diu,-181.0,-84.0
Delhi,-106.0,75.0
Lakshadweep,-253.0,-247.0
Puducherry,-58.0,-280.0
Ladakh,-84.0,196.0
